slug,kind,title,url,status,checked,deadline,note
fukui,risai,り災証明書等の申請,https://www.city.fukui.lg.jp/kurasi/bosai/bosai/p021776.html,open,2026-09-02,,
fukui,vc,お知らせ --> 福井市災害ボランティアセンターを設置します,https://www.city.fukui.lg.jp/shintyaku/oshirase/p073321.html,open,2026-09-02,,
obama,risai,【罹災証明書の発行について】,https://www1.city.obama.fukui.jp/kurashi/bosai-anzen/hisaishashien/4558.html,open,2026-09-02,,
obama,support,被災者支援の一覧を見る,https://www1.city.obama.fukui.jp/kurashi/bosai-anzen/hisaishashien/index.html,open,2026-09-02,,
ono,hub,令和8年9月1日 正午時点の大雨による被害状況,https://www.city.ono.fukui.jp/topics/higaijoukyo.html,open,2026-09-02,,
ono,risai,自然災害による罹災証明等の発行について,https://www.city.ono.fukui.jp/kurashi/bousai-anzen/bousai/risaishomeisho.html,open,2026-09-02,,
ono,support,住宅災害見舞金の支給,https://www.city.ono.fukui.jp/kurashi/kankyo-sumai/jutaku-tochi/saigaimimaikin.html,open,2026-09-02,,
ono,waste,大雨による災害ごみの受入れについて,https://www.city.ono.fukui.jp/kurashi/kankyo-sumai/gomi-recycle/saigaihaikibutu.html,open,2026-09-02,,
katsuyama,support,「災害見舞金支給制度」のご案内,https://www.city.katsuyama.fukui.jp/soshiki/7/94.html,open,2026-09-02,,
katsuyama,support,被災者支援の一覧を見る,https://www.city.katsuyama.fukui.jp/life/1/6/38/,open,2026-09-02,,
katsuyama,waste,災害ごみへの対応について,https://www.city.katsuyama.fukui.jp/soshiki/4/38764.html,open,2026-09-02,,
katsuyama,vc,災害ボランティアを募集します,https://www.katuyama-sk.jp/2026/08/31/%e7%81%bd%e5%ae%b3%e3%83%9c%e3%83%a9%e3%83%b3%e3%83%86%e3%82%a3%e3%82%a2%e3%82%92%e5%8b%9f%e9%9b%86%e3%81%97%e3%81%be%e3%81%99/,open,2026-09-02,,
sabae,hub,大雨に関する市民生活情報,https://www.city.sabae.fukui.jp/saigaibosaijoho/CmsAdmin202608304.html,open,2026-09-02,,
sabae,risai,罹災証明書・被災証明書の申請について,https://www.city.sabae.fukui.jp/anzen_anshin/bosai/oshirase/risai-shinsei.html,open,2026-09-02,,
sakai,risai,罹災証明書等の交付について,https://www.city.fukui-sakai.lg.jp/anzen/bosai-bohan/bosai/risai.html,open,2026-09-02,,
sakai,support,市内で被災された方に対する支援制度について,https://www.city.fukui-sakai.lg.jp/bosai-bohan/bosai/shien/seidoitiran.html,open,2026-09-02,,
sakai,support,住宅災害見舞金制度,https://www.city.fukui-sakai.lg.jp/shakai-fukushi/kenko/fukushi/tiiki/saigaimimaikin.html,open,2026-09-02,,
sakai,business,令和8年8月29日からの大雨に伴う災害に関して被災中小企業・小規模事業者支援措置を行います,https://www.city.fukui-sakai.lg.jp/syoukou/jigyosha/shokogyo/shien/0829ooame-shien02.html,open,2026-09-02,,
sakai,waste,災害土砂仮置場の開設について,https://www.city.fukui-sakai.lg.jp/kensetsu/houdou/20260901dosya.html,open,2026-09-02,,
sakai,waste,災害ごみの仮置場の設置について,https://www.city.fukui-sakai.lg.jp/kankyou/kariokiba.html,open,2026-09-02,,
sakai,waste,災害ごみの仮置場の設置について,https://www.city.fukui-sakai.lg.jp/kankyou/kurashi/gomi/recycle/kadenkaisyur2.html,open,2026-09-02,,
sakai,waste,災害土砂の仮置場の開設について,https://www.city.fukui-sakai.lg.jp/kensetsu/kurashi/o-yuki/2021haisetsubasyo.html,open,2026-09-02,,
sakai,disinfect,衛生対策と消毒について（消毒液配布）,https://www.city.fukui-sakai.lg.jp/zoshin/kenko/kansensho/saigaijieiseitaisaku.html,open,2026-09-02,,
sakai,housing,令和8年8月29日、30日の大雨で被災され自宅での居住が困難となった方へ市営住宅の一時使用の受付について,https://www.city.fukui-sakai.lg.jp/toshi-keikaku/kurashi/sumai/sumai/shiei/notohanntoujisin.html,open,2026-09-02,,
sakai,vc,坂井市災害ボランティアセンター ホームページにて受付を開始しました,https://www.city.fukui-sakai.lg.jp/machi-zukuri/saibora/houdou_hpkaisetsu2026.html,open,2026-09-02,,
sakai,vc,坂井市災害ボランティアセンター開設,https://www.city.fukui-sakai.lg.jp/machi-zukuri/kurashi/machi-zukuri/kyodo/saibora.html,open,2026-09-02,,
eiheiji,risai,8月29日・30日の大雨に関するお知らせ（被害状況・罹災証明・相談窓口・施設利用など）,https://www.town.eiheiji.lg.jp/900/901/p012061.html,open,2026-09-02,,
eiheiji,risai,罹災証明願の手続き,https://www.town.eiheiji.lg.jp/200/201/202/p002114.html,open,2026-09-02,,
eiheiji,support,大雨により家屋等の被害にあわれた人の相談受付,https://www.town.eiheiji.lg.jp/200/201/202/p012064.html,open,2026-09-02,,
eiheiji,business,令和8年8月の大雨に伴う災害に関する中小企業・小規模事業者の支援,https://www.town.eiheiji.lg.jp/200/212/214/p012065.html,open,2026-09-02,,
eiheiji,housing,住宅の応急修理制度について,https://www.town.eiheiji.lg.jp/200/201/202/p012068.html,open,2026-09-02,,
eiheiji,housing,「住宅の緊急の修理」制度について（災害救助法：令和8年8月29日からの大雨に伴う災害）,https://www.town.eiheiji.lg.jp/200/201/202/p012067.html,open,2026-09-02,,
minamiechizen,support,災害見舞金について,https://www.town.minamiechizen.lg.jp/bousai/201/p011332.html,open,2026-09-02,,
echizencho,risai,災害等による罹災証明書を発行します,https://www.town.echizen.fukui.jp/kurashi/01/06/06/p005375.html,open,2026-09-02,,
ohi,hub,大雨による災害,https://www.town.ohi.fukui.jp/bousai/6500/p17015.html,open,2026-09-02,,
pref-ishikawa,home,石川県,https://www.pref.ishikawa.lg.jp/,open,2026-09-02,,
pref-ishikawa,hub,石川県防災ポータル,https://pref-ishikawa.eye-bousai-plus.com/,open,2026-09-02,,
pref-toyama,home,富山県,https://www.pref.toyama.jp/,open,2026-09-02,,
pref-toyama,hub,富山防災WEB,http://www.bousai.pref.toyama.jp/,open,2026-09-02,,
pref-fukui,home,福井県,https://www.pref.fukui.lg.jp/,open,2026-09-02,,
pref-fukui,hub,福井県 危機対策・防災課,https://www.pref.fukui.lg.jp/doc/kikitaisaku/,open,2026-09-02,,
japan,home,内閣府 防災情報,https://www.bousai.go.jp/,open,2026-09-02,,
japan,support,被災者支援に関する各種制度,https://www.bousai.go.jp/taisaku/hisaisyagyousei/,open,2026-09-02,,
